runtime,popularity,vote_average,popularity_log
110.0,23.496054,6.0,3.1985120433544396
128.0,16.939441,6.3,2.8870016967248953
138.0,81.91469599999998,7.8,4.417812320253986
88.0,19.500893,5.3,3.0204684461712206
91.0,29.558157,6.0,3.419631654888121
138.0,46.075037,6.8,3.8517428605227266
99.0,23.531720999999997,5.9,3.1999670147983643
117.0,49.078546,7.3,3.913592692824036
117.0,37.02665,6.3,3.63828722970886
115.0,45.154631,6.5,3.8319973026100262
118.0,46.887983,6.3,3.8688645961152917
154.0,24.598479,6.7,3.2425329356579313
118.0,32.363538,6.6,3.507463627022971
93.0,11.50396,5.3,2.526045394137731
113.0,19.375768,5.2,3.0143463516680873
88.0,36.125715,6.5,3.614309856196666
93.0,25.450534,5.6,3.2752763471364292
104.0,41.890722,5.2,3.7586555321478863
135.0,22.179658,6.5,3.143275083704402
135.0,139.575085,7.4,4.945741758837517
98.0,18.264635,5.6,2.9582710316230085
80.0,11.187696,5.2,2.5004269182459327
83.0,41.670544,7.4,3.753508846122625
102.0,27.462640000000004,5.3,3.348592350130506
130.0,17.455023999999998,5.0,2.915336636941696
129.0,21.394281,6.2,3.1088056137632094
117.0,0.605645,8.0,0.47352554501307453
89.0,61.692197,6.7,4.138236990133596
96.0,25.978555,5.8,3.2950422911540658
114.0,6.643778,5.9,2.0338919835701033
99.0,36.788745,6.1,3.6320113069660644
129.0,31.054334000000004,5.9,3.4674324004334878
113.0,21.891078,6.8,3.1307472276567734
90.0,18.335992,5.2,2.96196822966506
118.0,40.138009,5.6,3.7169324873317753
106.0,44.090535,6.1,3.808672357521174
81.0,3.300061,6.4,1.4586292086454073
117.0,20.632673,6.7,3.0742048106931747
89.0,36.664991,5.9,3.6287310423290036
145.0,18.26121,6.9,2.9580932289033526
115.0,16.681269,5.8,2.872505830651822
87.0,10.088006,5.2,2.4058639835729423
118.0,7.89147,3.0,2.1850923901870014
90.0,16.715631,5.6,2.8744473572145455
112.0,9.357734,5.1,2.3377334870386197
116.0,11.22268,5.4,2.5032932423002476
177.0,14.564667000000002,6.1,2.7450034095111637
92.0,11.356079,5.2,2.5141481686908005
106.0,52.612025,5.7,3.9817733899296535
106.0,13.800656,5.4,2.6946715041120997
94.0,27.097932,6.0,3.3356959793254566
84.0,10.706613,7.3,2.4601538958058384
110.0,7.342892,4.8,2.121409918852332
105.0,50.561849,5.2,3.9427820385606527
89.0,0.719996,5.3,0.5423219652412622
135.0,59.248437,7.7,4.098476630125553
89.0,90.457886,8.0,4.515878604033191
94.0,40.72345900000001,5.8,3.7310635365710976
95.0,41.247402,6.4,3.7435428607882657
124.0,10.083905,6.7,2.4054940560509737
136.0,16.759252,6.5,2.876906619559956
91.0,22.132418,4.1,3.1412350103384834
107.0,10.520961,6.2,2.444168071927368
92.0,35.384423,7.6,3.59414074348999
99.0,15.673154,5.7,2.8137998810257994
88.0,8.981427,3.9,2.3007260660737967
87.0,31.482871999999997,5.9,3.4807129350296573
110.0,47.436675,5.7,3.8802572747104507
98.0,136.886704,7.0,4.92643236245679
145.0,60.442593,6.7,4.118103291724904
129.0,2.502487,6.2,1.25347328758759
86.0,48.110909,6.6,3.894081189348395
109.0,35.387874,7.4,3.5942355872738156
104.0,4.6689099999999994,6.8,1.734996859400304
110.0,73.82289,6.4,4.315123854209853
136.0,51.469576,6.9,3.9602334968578896
91.0,85.11505799999998,6.5,4.455684285805453
99.0,61.437586,6.6,4.134167433785201
117.0,31.160542,6.5,3.4707402974025823
114.0,15.761384,4.7,2.81907766921023
78.0,17.561954999999998,4.3,2.921114055862537
115.0,71.124686,7.3,4.278396371265927
102.0,38.864027,6.0,3.6854743382817037
128.0,57.753914,7.0,4.073357772081765
100.0,13.25753,5.7,2.6572851882020507
124.0,13.318744,5.9,2.66156944818859
102.0,18.70031,6.5,2.980634371660742
90.0,47.094369,5.8,3.8731651016515825
134.0,14.486311,6.6,2.7399564724181795
118.0,18.61472,5.4,2.9762803047699284
164.0,29.035221999999997,6.9,3.402370759651536
121.0,27.055085,6.4,3.3341698989613113
100.0,23.004607,5.7,3.1782457702596356
